Date of Exploit,Blockchain,Protocol Name,Amount Stolen (USD),Attack Type,Root Cause,Protocol Category,Exploit Method,No. of Transactions,Duration of Exploit,Funds Recovered,Reference Link
10/26/2020,Ethereum,Harvest Finance,25000000,Flash-Loan Exploit,Vault used manipulable Curve pool prices; no oracle/slippage protection.,Yield Aggregation,Flash-Loan Assisted,Multiple,Under 10 minutes,Partial,https://rekt.news/harvest-finance-rekt/
11/14/2020,Ethereum,ValueDefi,7000000,Flash-Loan Exploit,"Vault relied on manipulable Curve 3pool pricing, allowing flash-loan price distortion.",Yield Aggregation,Flash-Loan Assisted,Multiple,Under 10 minutes,Partial,https://rekt.news/zh/value-defi-rekt
12/18/2020,Ethereum,Warp Protocol,7800000,Flash-Loan Exploit,Collateral values could be inflated via flash-loan price manipulation of Uniswap pools used for lending valuations.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 30 minutes,Partial,https://rekt.news/warp-finance-rekt/
9/28/2020,Ethereum,Eminence,15000000,Reentrancy,A reentrancy flaw in the bonding curve contract allowed attackers to repeatedly withdraw funds.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/zh/eminence-rekt-in-prod
11/16/2020,Ethereum,CheeseBank,3300000,Oracle Manipulation,"The protocol used an AMM-based oracle for asset price feeds — this oracle could be manipulated (via flash loans), allowing the attacker to inflate asset prices and drain liquidity from the lending pool.",Lending and Borrowing,"Flash-Loan Assisted, Multi-Transaction Sequence",Multiple,Under 15 minutes,No,https://rekt.news/hack-epidemic
2/18/2020,Ethereum,Ooki,650000,Flash-Loan Exploit,Protocol relied on manipulable AMM pricing (Curve) for collateral valuation; no safeguards against flash-loan-driven price swings.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/bzx-rekt/
11/12/2020,Ethereum,Akropolis,2000000,Reentrancy,Missing reentrancy guard in the SavingsModule contract allowed repeated liquidity additions before state updates.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://rekt.news/akropolis-rekt
11/17/2020,Ethereum,Origin Protocol,8000000,Reentrancy,A vulnerability in the mint logic of the OUSD vault (VaultCore) — lack of reentrancy protection and improper validation of incoming assets caused inflation of totalSupply and allowed draining of underlying assets.,Stablecoin,"Flash-Loan Assisted, Multi-Transaction Sequence",Multiple,Under 10 minutes,Partial,https://rekt.news/hack-epidemic
2/15/2020,Ethereum,Ooki,350000,Flash-Loan Exploit,Protocol relied on manipulable Uniswap/Kyber AMM prices for collateral valuation with no safeguards against flash-loan-driven price manipulation.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/bzx-rekt/
12/29/2020,Ethereum,Cover Protocol,4400000,Logic Bug,"Blacksmith contract allowed repeated reward withdrawals without proper accounting, enabling infinite COVER token minting.",Infrastructure,Multi-Transaction Sequence,Multiple,Under 30 minutes,Partial,https://rekt.news/cover-rekt/
11/22/2020,Ethereum,Pickle,19700000,Logic Bug,"Strategy contract trusted external Jar addresses without validation, allowing a malicious “Evil Jar” to redirect vault funds.",Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/pickle-finance-rekt
9/4/2021,Ethereum,DAO Maker Vesting,4000000,Access Control,Incorrect signature/authorization validation allowed attackers to trigger unauthorized withdrawals from user-linked vesting contracts.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 1 hour,No,https://rekt.news/daomaker-rekt
8/10/2021,"Ethereum, Polygon, BNB Chain",Poly Network,611000000,Access Control,Cross-chain bridge contract allowed attacker to forge messages and change “owner” via incorrect verification logic.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 1 hour,Yes,https://rekt.news/ko/polynetwork-rekt
3/9/2021,Ethereum,DODO AMM,2000000,Logic Bug,"Initialization function could be called again, allowing attackers to withdraw pool assets without depositing.",Decentralized Exchange (DEX),Single Transaction,Single,Under 10 minutes,Partial,https://rekt.news/au-dodo-rekt
5/5/2021,BNB Chain,ValueDefi,10000000,Logic Bug,The AMM used a custom “power()” function (for non-50/50 pools) copied from another project; incorrect input assumptions (baseN < baseD) allowed attackers to exploit the invariant and drain liquidity.,Decentralized Exchange (DEX),"Multi-Transaction Sequence, Arbitrage-Driven",Multiple,Under 30 minutes,No,https://rekt.news/value-rekt2
6/16/2021,Ethereum,Alchemix,6500000,Logic Bug,Incorrect debt accounting allowed users to mint alETH without locking collateral.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,Yes,https://rekt.news/alchemix-rekt
2/27/2021,Ethereum,Furucombo,14000000,Access Control,"Attacker tricked the system into treating a malicious contract as a legitimate Aave contract, abusing authorization logic.",Infrastructure,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/furucombo-rekt
8/10/2021,Ethereum,Punk Protocol,8950000,Access Control,Unauthorized access allowed attacker to mint synthetic assets and withdraw protocol funds.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/zh/punkprotocol-rekt
10/8/2021,Other,Mirror,90000000,Oracle Manipulation,An outdated oracle price was reused to mint undercollateralized synthetic assets.,Derivatives,Multi-Transaction Sequence,Multiple,Under 1 day,No,https://rekt.news/mirror-rekt
11/7/2021,"Ethereum, BNB Chain",ChainSwap,4400000,Access Control,Incorrect authentication in cross-chain bridge allowed unauthorized minting of bridged tokens.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 10 minutes,Partial,https://rekt.news/chainswap-rekt
6/22/2021,BNB Chain,Eleven Finance,4500000,Logic Bug,Incorrect share-calculation logic allowed attacker to withdraw far more LP tokens than deposited via vault misconfiguration.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/11-rekt
9/12/2021,Avalanche,Zabu Finance,3200000,Logic Bug,Double-counting bug in the reward calculation enabled attackers to mint excessive ZABU tokens.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/veefinance-rekt
5/24/2021,BNB Chain,AutoShark,745000,Logic Bug,AutoShark’s JAWS token minting logic allowed attackers to manipulate price feeds and mint excessive tokens.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/autoshark-rekt/
8/3/2021,Ethereum,Popsicle Finance,20000000,Logic Bug,Incorrect accounting in “FarmingStrategyV2” let attacker withdraw more funds than deposited by manipulating the reward/debt calculation.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/popsicle-rekt
7/14/2021,"BNB Chain, Polygon",ApeRocket,1260000,Logic Bug,Incorrect reward minting logic allowed attackers to mint unlimited SPACE tokens.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/pancakebunny2-rekt
7/16/2021,BNB Chain,Bunny,2400000,Logic Bug,Minting logic in the PolyBunny bridging contract allowed unauthorized creation of PolyBUNNY tokens due to improper access validation.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/pancakebunny2-rekt
5/26/2021,BNB Chain,Merlin,680000,Logic Bug,Faulty price-per-share and reward accounting in the auto-compounder vault allowed withdrawals that exceeded the attacker’s proportional deposit.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://rekt.news/zh/merlinlabs-rekt
2/13/2021,Ethereum,Alpha Finance,37500000,Flash-Loan Exploit,Incorrect handling of Cream’s ibBTC integration allowed attacker to drain Alpha’s funds via multi-step flash-loan manipulation.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/trapped-between-protocols
5/2/2021,BNB Chain,Spartan,30500000,Logic Bug,Faulty liquidity share calculation in AMM pools allowed attacker to remove more liquidity than they contributed.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/spartan-rekt
5/12/2021,Ethereum,xToken,24000000,Logic Bug,Price manipulation of dYdX’s xSNX strategy and flawed reward accounting allowed attacker to drain collateral.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/xtoken-rekt
2/9/2021,Ethereum,Growth DeFi,1300000,Flash-Loan Exploit,Price manipulation of MINT/MOR token pools allowed attacker to mint improperly valued collateral using flash loans.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/the-big-combo
2/5/2021,Ethereum,Yearn Finance,11000000,Flash-Loan Exploit,Complex manipulation of Curve 3Pool pricing combined with Yearn’s vault accounting allowed attacker to profit from repeated deposit/withdraw cycles.,Yield Aggregation,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/yearn-rekt
8/29/2021,Ethereum,xToken,4500000,Logic Bug,Flawed minter/admin role allowed attacker to directly manipulate token balances across staking pools.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/zh/xtoken-rekt-x2
10/14/2021,Ethereum,Indexed Finance,16000000,Oracle Manipulation,"The pool valuation logic used a flawed “extrapolatePoolValueFromToken” formula which depended on a single token’s balance/weight; by manipulating token balances (via flash loans), the attacker caused massive mis-valuation, minted inflated index-tokens, and withdrew disproportionate underlying assets.",Decentralized Exchange (DEX),"Multi-Transaction Sequence, Flash-Loan Assisted",Multiple,Under 30 minutes,No,https://rekt.news/indexed-finance-rekt
3/15/2021,Fantom,DEUS Finance,3000000,Flash-Loan Exploit,Price manipulation of stablecoin pools allowed attacker to borrow synthetic assets with insufficient collateral.,Derivatives,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/deus-dao-rekt
5/29/2021,BNB Chain,Belt Finance,6300000,Logic Bug,4Belt pool had faulty accounting in the “belt strategy” that let attacker manipulate virtual balance calculations using flash loans.,Yield Aggregation,Flash-Loan Assisted,Multiple,Under 1 hour,No,https://rekt.news/belt-rekt
5/19/2021,BNB Chain,Bunny,45000000,Flash-Loan Exploit,Price manipulation of BNB/USDT on PancakeSwap caused protocol to mint excessive BUNNY tokens to the attacker.,Yield Aggregation,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/pancakebunny-rekt
9/21/2021,Avalanche,Vee Finance,34000000,Oracle Manipulation,"The protocol used a single on-chain oracle (via Pangolin) for pricing; attacker manipulated newly created token-pair prices to bypass slippage and price checks — combined with incorrect price-calculation logic, enabling draining of funds.",Lending and Borrowing,"Multi-Transaction Sequence, Flash-Loan Assisted",Multiple,Under 30 minutes,No,https://rekt.news/zh/veefinance-rekt
10/27/2021,Ethereum,CREAM Lending,130000000,Flash-Loan Exploit,Price manipulation + flawed collateral accounting enabled attacker to borrow massive amounts using repeated flash-loan cycles.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/cream-rekt-2
5/28/2021,BNB Chain,BurgerSwap,7200000,Logic Bug,Custom AMM swap logic allowed attackers to create fake tokens and manipulate reserve balances to steal liquidity.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 1 hour,No,https://rekt.news/burgerswap-rekt
12/18/2021,Fantom,Grim Finance,30000000,Reentrancy,"Grim’s depositFor() lacked a reentrancy guard, allowing attacker-controlled vault tokens to re-enter during deposit and duplicate shares.",Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/grim-finance-rekt
8/30/2021,Ethereum,CREAM Lending,18800000,Flash-Loan Exploit,"A flaw in AMP token’s ERC777 implementation allowed reentrancy via tokensReceived(), enabling attackers to borrow repeatedly from CREAM Iron Bank.",Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/cream-rekt
5/17/2021,BNB Chain,BearnFi,18000000,Logic Bug,Flawed internal accounting allowed attacker to withdraw more BUSD than deposited by manipulating the vault’s withdraw logic.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/bearn-rekt
6/28/2021,Polygon,Safe Dollar,248000,Logic Bug,Incorrect minting logic in the SDO stablecoin allowed infinite issuance via flawed reward mechanism.,Stablecoin,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/safedollar-rekt
6/29/2021,BNB Chain,Merlin,330000,Logic Bug,"Reward and share accounting miscalculated user shares, allowing attackers to withdraw more liquidity than deposited through manipulated entry/exit cycles.",Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/merlin3-rekt
8/13/2021,Other,Acala Network,1600000,Logic Bug,Price calculation bug in the liquidity withdrawal logic allowed attacker to drain LCDOT liquidity from Karura DEX.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 10 minutes,Partial,https://rekt.news/acala-network-rekt
9/15/2021,"Ethereum, BNB Chain",NowSwap,1000000,Logic Bug,A flaw in the constant-product invariant (k value) check allowed attackers to execute malicious swaps and drain liquidity without proper balance validation.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 15 minutes,No,https://www.halborn.com/blog/post/explained-the-nowswap-protocol-hack-september-2021
10/4/2021,BNB Chain,pNetwork,13000000,Access Control,A compromised private key controlling the pNetwork validator allowed the attacker to forge peg-out events and mint unbacked pBTC on BSC.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 30 minutes,Partial,https://www.halborn.com/blog/post/explained-the-pnetwork-hack-september-2021
5/7/2021,BNB Chain,ValueDefi,11000000,Logic Bug,"The vSwap AMM used a custom power()‐based formula for weighted pools; when pools had non-50/50 asset ratios, this formula failed, allowing the attacker to exploit the wrong invariant to drain liquidity.",Decentralized Exchange (DEX),"Multi-Transaction Sequence, Arbitrage-Driven",Multiple,Under 30 minutes,No,https://rekt.news/value-rekt3
9/29/2021,Ethereum,Compound V2,147000000,Logic Bug,"A governance upgrade (Proposal 062) introduced an incorrect calculation in the Comptroller’s reward distribution module (DistributorV2), causing users to receive excessive COMP tokens when claiming rewards.",Lending and Borrowing,Single Transaction,Multiple,Under 1 hour,Partial,https://www.coindesk.com/tech/2021/09/30/defi-money-market-compound-overpays-15m-in-comp-rewards-in-possible-exploit?utm_source=chatgpt.com
5/26/2021,BNB Chain,Merlin,550000,Logic Bug,Incorrect price-per-share and reward accounting enabled attacker to withdraw more than their shares justified.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/merlin2-rekt
4/28/2021,BNB Chain,Uranium Finance,57200000,Logic Bug,A mistake in the swap fee logic (0.003 → 3) in the AMM math allowed attacker to drain liquidity pools.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/uranium-rekt
7/15/2021,Ethereum,Thorchain DEX,5000000,Logic Bug,"Inbound transaction validation in the ETH Bifrost misinterpreted fake ERC20 transfer calls as legitimate asset deposits, causing real ETH to be released.",Cross-Chain Bridge,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/thorchain-rekt
5/8/2021,Ethereum,Rari Capital,10000000,Reentrancy,Integration with Alpha Homora contained a missing reentrancy guard allowing attacker to drain Rari’s ETH pool.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/rari-capital-rekt
9/3/2021,Polygon,Siren,3450000,Reentrancy,A reentrancy vulnerability in the AMM options pool contracts allowed the attacker to recursively withdraw funds before internal balances were updated.,Derivatives,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://www.halborn.com/blog/post/explained-the-siren-protocol-hack-september-2021
7/22/2021,Ethereum,Thorchain DEX,8000000,Logic Bug,"ETH Bifrost incorrectly validated inbound ERC-20 transfers, treating fake deposits as genuine, leading to unauthorized ETH payouts.",Cross-Chain Bridge,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/thorchain-rekt-2
11/30/2021,"Ethereum, Polygon",MonoX,31400000,Logic Bug,A flaw in MonoX’s token swap smart contract allowed attacker to inflate MONO token price and use it to drain other assets.,Decentralized Exchange (DEX),Single Transaction,Single,Under 1 minute,No,https://rekt.news/monox-rekt
7/2/2022,Solana,Crema Finance,8800000,Oracle Manipulation,Attacker manipulated tick account data to trick concentrated liquidity pools.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 10 minutes,Yes,https://rekt.news/crema-finance-rekt
3/3/2022,Arbitrum,Treasure,1400000,Access Control,"NFTs were listed for essentially zero due to improper validation, enabling attackers to steal assets.",NFT,Multi-Transaction Sequence,Multiple,Under 30 minutes,Partial,https://rekt.news/treasure-dao-rekt
3/23/2022,Solana,Cashio,48000000,Logic Bug,A minting logic flaw enabled attackers to create unlimited CASH stablecoins without backing.,Stablecoin,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/cashio-rekt
6/5/2022,Optimism,Wintermute,27600000,Access Control,"Private keys were sent to the wrong address during OP token distribution, enabling misuse.",Infrastructure,Single Transaction,Single,Under 10 minutes,Partial,https://rekt.news/wintermute-rekt
2/8/2022,Polygon,Superfluid,8700000,Logic Bug,A batch call vulnerability allowed attackers to manipulate super tokens and drain funds.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 1 hour,Partial,https://rekt.news/superfluid-rekt
2/6/2022,Ethereum,Meter,7700000,Flash-Loan Exploit,Incorrect handling of wrapped assets enabled attackers to mint unbacked tokens.,Cross-Chain Bridge,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/meter-rekt
6/8/2022,BNB Chain,Gym Network,2100000,Logic Bug,A flawed reward contract allowed attackers to withdraw excess funds.,Vault or Staking,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/gymnet-rekt
5/4/2022,Other,MM Finance Cronos,2000000,Oracle Manipulation,An attacker manipulated the liquidity pool price oracle during routing transactions.,Decentralized Exchange (DEX),Arbitrage-Driven,Multiple,Under 10 minutes,No,https://rekt.news/madmeerkat-finance-rekt
8/9/2022,Ethereum,Curve DEX,575000,Other,A DNS attack redirected users to a malicious frontend that drained funds.,Decentralized Exchange (DEX),Single Transaction,Multiple,Under 1 day,Partial,https://rekt.news/curve-finance-rekt
10/11/2022,Ethereum,TempleDAO,2300000,Access Control,A staking helper contract allowed unauthorized privilege escalation.,Vault or Staking,Single Transaction,Single,Under 5 minutes,Yes,https://rekt.news/templedao-rekt
4/17/2022,Ethereum,Beanstalk,181000000,Governance Attack,The attacker acquired majority governance voting power through flash loans and passed a malicious proposal.,Stablecoin,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/beanstalk-rekt
4/12/2022,BNB Chain,Elephant Money,22200000,Oracle Manipulation,An attacker manipulated the price oracle via a flash loan to drain the treasury.,Yield Aggregation,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/elephant-money-rekt/
4/28/2022,Fantom,DEUS Finance,13400000,Oracle Manipulation,The attacker manipulated the price oracle for the DEI stablecoin by exploiting Solidly TWAP pricing.,Stablecoin,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/deus-dao-rekt-2
12/10/2022,Arbitrum,Lodestar V0,6900000,Oracle Manipulation,"Attackers manipulated the price of plvGLP collateral, allowing excessive borrowing.",Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 30 minutes,Partial,https://rekt.news/lodestar-rekt
7/28/2022,Solana,Nirvana V1,3500000,Flash-Loan Exploit,A mint-price oracle flaw allowed attackers to mint ANA at an undervalued price and sell it higher.,Yield Aggregation,Flash-Loan Assisted,Single,Under 5 minutes,No,https://rekt.news/nirvana-rekt
6/16/2022,Ethereum,Inverse Finance Frontier,5800000,Oracle Manipulation,"Attackers manipulated INV/USD pricing to borrow assets, exploiting a vulnerable oracle feed.",Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 15 minutes,No,https://rekt.news/inverse-rekt2
3/15/2022,Gnosis,Agave,5500000,Reentrancy,A reentrancy vulnerability in token contracts allowed recursive borrowing.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://rekt.news/agave-hundred-rekt
3/15/2022,Gnosis,Hundred Finance,6200000,Reentrancy,Same attacker as Agave used reentrancy in hTOKENS to drain funds.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://rekt.news/agave-hundred-rekt
3/13/2022,BNB Chain,Paraluni Masterchef,1700000,Reentrancy,A malicious contract repeatedly invoked the MasterChef withdrawal function.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://slowmist.medium.com/paraluni-incident-analysis-58be442a4f99
5/1/2022,"Ethereum, Arbitrum",Rari Capital,80000000,Reentrancy,A reentrancy vulnerability in Fuse pools allowed recursive withdrawals.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/fei-rari-rekt
10/4/2022,Other,Sovryn,1100000,Oracle Manipulation,Attacker manipulated liquidity pool pricing to borrow against inflated collateral.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,Partial,https://rekt.news/sovryn-rekt
4/30/2022,Ethereum,Saddle Finance,11000000,Logic Bug,Incorrect accounting in the swap contract allowed attackers to drain pool imbalance.,Decentralized Exchange (DEX),Arbitrage-Driven,Multiple,Under 10 minutes,No,https://rekt.news/saddle-finance-rekt2
5/8/2022,BNB Chain,Fortress Loans,3000000,Flash-Loan Exploit,A price oracle flaw in XFT collateral enabled borrowing far beyond the correct value.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 5 minutes,No,https://rekt.news/fortress-rekt
7/25/2022,Ethereum,Audius,6000000,Logic Bug,A flaw in the governance contract allowed attackers to pass a malicious proposal to withdraw treasury funds.,Infrastructure,Single Transaction,Single,Under 5 minutes,No,https://rekt.news/audius-rekt
10/27/2022,Ethereum,Team Finance,15800000,Logic Bug,A flawed migration function allowed attackers to move tokens in unintended ways.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 15 minutes,No,https://rekt.news/teamfinance-rekt
3/9/2022,Fantom,Fantasm Finance,2260000,Logic Bug,Improper validation allowed attackers to mint unbacked XFTM tokens.,Stablecoin,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://medium.com/@fantasmfinance/fantasm-finance-post-mortem-exploit-09-march-2022-daf48ead016f
5/13/2022,Avalanche,Blizz Finance,21800000,Oracle Manipulation,"LUNA crash caused stale price oracles, allowing attackers to borrow against worthless collateral.",Lending and Borrowing,Arbitrage-Driven,Multiple,Under 10 minutes,No,https://rekt.news/venus-blizz-rekt
10/11/2022,Solana,Mango Markets V3,115000000,Oracle Manipulation,"Attacker inflated MNGO price using illiquid markets, then borrowed large sums.",Lending and Borrowing,Arbitrage-Driven,Multiple,Under 10 minutes,Partial,https://rekt.news/mango-markets-rekt
10/18/2022,Other,Moola Market,8400000,Oracle Manipulation,Attacker artificially inflated MOO price to borrow large amounts of other assets.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,Partial,https://rekt.news/moola-markets-rekt
9/18/2022,Arbitrum,GMX V1 Perps,565000,Oracle Manipulation,Attacker manipulated AVAX spot pricing via external CEXs to profit from GMX perps.,Derivatives,Arbitrage-Driven,Multiple,Under 1 day,No,https://rekt.news/gmx-rekt
4/2/2022,Ethereum,Inverse Finance Frontier,15600000,Oracle Manipulation,Attackers manipulated the INV token oracle to borrow DOLA and USDT.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/inverse-finance-rekt
12/13/2022,"Avalanche, Ethereum",ElasticSwap,854000,Logic Bug,A faulty accounting logic caused liquidity imbalance enabling asset withdrawal.,Decentralized Exchange (DEX),Single Transaction,Single,Under 5 minutes,No,https://quillaudits.medium.com/decoding-elastic-swaps-850k-exploit-quillaudits-9ceb7fcd8d1a
11/6/2022,Other,Pando Rings,22000000,Oracle Manipulation,The protocol relied on a manipulable LP-token price oracle for the sBTC–WBTC pool; the attacker manipulated this price to artificially inflate collateral value and drained pool assets.,Decentralized Exchange (DEX),Flash-Loan Assisted,Multiple,Under 30 minutes,Partial,https://immunebytes.com/blog/pando-rings-hack-nov-5-2022-detailed-analysis/
10/6/2022,BNB Chain,Binance Bridge,570000000,Access Control,A compromised or incorrectly verified proof allowed the attacker to forge a withdrawal message and mint 2M BNB.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 5 minutes,Partial,https://rekt.news/bnb-bridge-rekt
11/2/2022,Other,Skyward Finance,3000000,Logic Bug,A faulty redemption formula allowed attackers to withdraw more than their fair share during token redemption.,Decentralized Exchange (DEX),Single Transaction,Single,Under 1 minute,No,https://rekt.news/skyward-rekt
